country,orders,buyers,units,revenue,gross_profit,gross_margin_pct,aov,revenue_share
United Kingdom,18784,3922,4733817,9025222.084,3610088.8336,0.39999999999999997,18.559570300482847,0.8461131522893567
Netherlands,95,9,200937,285446.34,114178.53600000001,0.39999999999999997,120.79828184511216,0.026760549524318996
EIRE,288,4,147447,283453.96,113381.584,0.39999999999999997,35.907519635165954,0.02657376421237118
Germany,457,94,119263,228867.14,91546.856,0.39999999999999997,25.31156160141562,0.021456258414310897
France,392,88,112104,209715.11,83886.04400000001,0.4000000000000001,24.942329923882017,0.019660758611068564
Australia,57,9,84209,138521.31,55408.524000000005,0.4,116.89562025316455,0.012986351047375642
Spain,90,30,27951,61577.11,24630.844,0.4,24.779521126760564,0.005772844387212806
Switzerland,54,22,30630,57089.9,22835.96,0.39999999999999997,29.023843416370106,0.005352169154764496
Belgium,98,25,23237,41196.34,16478.536,0.4,20.28377154111275,0.0038621504020359253
Sweden,36,8,36083,38378.33,15351.332,0.39999999999999997,85.0960753880266,0.0035979624073150048
Japan,19,8,26016,37416.37,14966.548,0.39999999999999997,116.56190031152649,0.003507778808462717
Norway,36,10,19338,36165.44,14466.176000000001,0.4,33.73641791044776,0.0033905043175147635
Portugal,58,20,16258,33747.1,13498.84,0.4,22.483077948034644,0.003163785322495799
Finland,41,12,10704,22546.08,9018.432,0.4,32.913985401459854,0.002113691457453117
Singapore,7,1,5241,21279.29,8511.716,0.4,95.85265765765766,0.0019949300939971623
Channel Islands,26,9,9491,20450.44,8180.176,0.4,27.340160427807486,0.0019172255367300001
Denmark,18,9,8235,18955.34,7582.136,0.4,49.882473684210524,0.001777060146647194
Italy,38,14,8112,17483.24,6993.296,0.39999999999999997,23.06496042216359,0.001639051002950519
Hong Kong,11,1,4773,15691.8,6276.72,0.4,55.25281690140845,0.001471103784430057
Cyprus,16,8,6361,13590.38,5436.152,0.4,22.13416938110749,0.0012740959896151212
Austria,17,11,4881,10198.68,4079.472,0.4,25.624824120603016,0.0009561246475350906
Israel,8,4,4409,8135.26,3254.1040000000003,0.4,27.577152542372882,0.0007626793467494147
Poland,19,6,3684,7334.65,2933.86,0.4,22.22621212121212,0.0006876222850450501
Greece,5,4,1557,4760.52,1904.208,0.39999999999999997,32.831172413793105,0.00044629800200454863
Unspecified,13,5,3300,4749.79,1899.9160000000002,0.4,10.6497533632287,0.000445292066190497
Iceland,7,1,2458,4310.0,1724.0,0.4,23.681318681318682,0.00040406182279238494
Canada,6,4,2763,3666.38,1466.5520000000001,0.4,24.28066225165563,0.00034372254892100796
USA,5,4,2458,3580.39,1432.156,0.4,20.00217877094972,0.00033566099993216403
Malta,5,2,970,2725.59,1090.236,0.4,24.335625,0.000255523634242389
United Arab Emirates,3,2,982,1902.28,760.912,0.4,27.97470588235294,0.00017833845110475593
Lebanon,1,1,386,1693.88,677.552,0.39999999999999997,37.64177777777778,0.00015880098384955105
Lithuania,4,1,652,1661.06,664.424,0.4,47.45885714285714,0.0001557241140063849
European Community,4,1,499,1300.25,520.1,0.4,21.670833333333334,0.00012189823319856115
Brazil,1,1,356,1143.6,457.44,0.4,35.7375,0.00010721232031215113
RSA,1,1,352,1002.3100000000001,400.92400000000004,0.4,17.281206896551726,9.396640501230519e-05
Czech Republic,2,1,671,826.74,330.696,0.4,33.0696,7.75067450986952e-05
Bahrain,3,3,314,754.14,301.656,0.4,41.89666666666667,7.070050650595108e-05
Saudi Arabia,1,1,80,145.92,58.368,0.4,16.21333333333333,1.3679977072358423e-05
