sku,units,revenue,gross_profit,revenue_share,cum_share,abc_class
DOT,1708,206248.77,82499.508,0.019335789780716327,0.019335789780716327,A
22423,13890,174484.74,69793.89600000001,0.016357916959131177,0.03569370673984751,A
23843,80995,168469.6,67387.84000000001,0.015793998529258467,0.05148770526910597,A
85123A,41956,106471.28,42588.512,0.009981665770728168,0.06146937103983414,A
47566,18299,99504.33,39801.732,0.009328515302908352,0.07079788634274249,A
85099B,48478,94340.05,37736.020000000004,0.008844364864344487,0.07964225120708698,A
23166,78033,81700.92000000001,32680.368000000002,0.007659448412764462,0.08730169961985143,A
M,7231,78112.82,31245.128,0.007323064601543729,0.09462476422139517,A
POST,6500,78101.88,31240.752,0.0073220389782626735,0.10194680319965785,A
23084,31722,66964.99,26785.996000000003,0.006277957290643582,0.10822476049030143,A
22086,19355,64952.29,25980.916000000005,0.006089266981888539,0.11431402747218995,A
84879,36461,59094.93,23637.972,0.005540140402224686,0.11985416787441465,A
79321,10423,54117.76,21647.104000000003,0.005073531496761212,0.12492769937117587,A
22502,2048,51426.62,20570.648,0.004821237544605876,0.12974893691578174,A
22197,56921,51354.02,20541.608,0.004814431306013131,0.13456336822179488,A
23298,8644,43182.83,17273.132,0.004048383527409208,0.13861175174920407,A
22386,21465,42436.24,16974.496000000003,0.0039783908322169655,0.14259014258142105,A
23203,20603,42067.78,16827.112,0.003943847765111146,0.1465339903465322,A
21137,11656,40652.13,16260.852000000003,0.003811130800044779,0.15034512114657697,A
23284,5504,38166.64,15266.656,0.003578116503076741,0.1539232376496537,A
22720,7507,38158.39,15263.356000000002,0.00357734306687302,0.15750058071652673,A
22960,8717,37128.88,14851.552000000001,0.0034808266661345076,0.16098140738266123,A
20725,19553,36042.01,14416.804,0.0033789327744086703,0.16436034015706988,A
82484,6020,36030.22,14412.088,0.003377827463761171,0.16773816762083107,A
22178,24304,33187.97,13275.188,0.0031113669728489537,0.17084953459368002,A
22114,5892,33002.590000000004,13201.036,0.0030939876269767378,0.17394352222065676,A
22910,10604,32873.340000000004,13149.336000000001,0.0030818704597851097,0.17702539268044187,A
22112,6026,32866.18,13146.472000000002,0.0030811992109101224,0.180106591891352,A
85099F,17423,32802.53,13121.012,0.0030752320334111118,0.1831818239247631,A
22469,17979,32107.8,12843.12,0.0030101012050703802,0.18619192512983349,A
23245,6357,31177.95,12471.18,0.0029229279136728167,0.1891148530435063,A
21931,13654,30770.12,12308.048,0.002884693915252998,0.19199954695875932,A
22727,7815,30701.12,12280.448,0.002878225176094605,0.1948777721348539,A
23199,14920,30475.65,12190.26,0.0028570873990215193,0.19773485953387543,A
22470,9904,30139.410000000003,12055.764000000001,0.002825564951853141,0.20056042448572858,A
22355,18153,29277.95,11711.18,0.0027448032122098166,0.20330522769793838,A
22699,9878,29095.27,11638.108,0.002727676990913363,0.20603290468885174,A
23355,5841,28842.550000000003,11537.02,0.002703984530621927,0.20873688921947364,A
22411,12602,28634.95,11453.980000000001,0.002684522063241022,0.2114214112827147,A
22457,9172,28147.960000000003,11259.184000000001,0.002638866827259198,0.21406027810997388,A
85099C,13922,28092.2,11236.880000000001,0.002633639336020473,0.21669391744599437,A
20685,4093,28082.54,11233.016,0.002632733712538298,0.21932665115853267,A
23201,13379,27890.170000000002,11156.068000000001,0.0026146990552643836,0.22194135021379705,A
22726,6431,27196.53,10878.612,0.002549670414252386,0.22449102062804943,A
21175,12225,27074.07,10829.628,0.002538189808493881,0.22702921043654334,A
84347,9476,26463.829999999998,10585.532000000001,0.0024809799043776803,0.229510190340921,A
21915,22133,26331.58,10532.632000000001,0.002468581487657427,0.2319787718285784,A
22666,8297,26240.600000000002,10496.240000000002,0.0024600521269526354,0.23443882395553106,A
